title,location,model_year,fuel_type,transmission,km_driven,registered_in,color,assembly,engine_capacity,body_type,last_updated,price,url
Suzuki Mehran 2003,Multan Punjab,2003,Petrol,Manual,"170,000 km",Lahore,White,Local,800 cc,N/A,"May 07, 2025",PKR 5.8 Lakh,https://www.pakwheels.com/used-cars/suzuki-mehran-2003-for-sale-in-multan-10059331
Mitsubishi Lancer GLX Automatic 1.6 2006,Lahore Punjab,2006,Petrol,Automatic,"119,080 km",Islamabad,Labrador Black Pearl,Imported,1600 cc,Sedan,"Apr 29, 2025",PKR 25 Lakh,https://www.pakwheels.com/used-cars/mitsubishi-lancer-2006-for-sale-in-lahore-10025412
Suzuki Wagon R Stingray X 2013,"Abbot Road, Lahore Punjab",2013,Petrol,Automatic,"87,000 km",Punjab,Black,Imported,660 cc,Hatchback,"Apr 29, 2025",PKR 26.5 Lakh,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2013-for-sale-in-lahore-10027103
Toyota Land Cruiser ZX 2019,Lahore Punjab,2019,Petrol,Automatic,"30,000 km",Un-Registered,White Pearl Crystal Shine,Imported,4600 cc,SUV,"Apr 28, 2025",PKR 4.63 crore,https://www.pakwheels.com/used-cars/toyota-land-cruiser-2019-for-sale-in-lahore-10025538
Suzuki Alto VXL AGS 2021,"Rehmania Town, Faisalabad Punjab",2021,Petrol,Automatic,"15,800 km",Punjab,Silver,Local,660 cc,Hatchback,"Apr 30, 2025",PKR 27.7 Lakh,https://www.pakwheels.com/used-cars/suzuki-alto-2021-for-sale-in-faisalabad-10034114
MG ZS 1.5L 2021,"Johar Town, Lahore Punjab",2021,Petrol,Automatic,"85,556 km",Punjab,White,Imported,1490 cc,Compact SUV,"May 07, 2025",PKR 47 Lakh,https://www.pakwheels.com/used-cars/mg-zs-2021-for-sale-in-lahore-10059170
Suzuki Wagon R VXL 2018,"G- 9, Islamabad Islamabad",2018,Petrol,Manual,"78,000 km",Islamabad,Solid White,Local,1000 cc,Hatchback,"May 04, 2025",PKR 23.7 Lakh,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2018-for-sale-in-islamabad-10039539
Toyota Fortuner GR-S 2023,"Sharqi Colony, Vehari Punjab",N/A,Diesel,Automatic,"30,000 km",Punjab,Super White,Local,2800 cc,SUV,"May 07, 2025",PKR 2.08 crore,https://www.pakwheels.com/used-cars/toyota-fortuner-2023-for-sale-in-vehari-10061008
Suzuki Wagon R VXL 2018,"G.T Road, Gujrat Punjab",2018,Petrol,Manual,"114,000 km",Lahore,White,Local,1000 cc,Hatchback,"Apr 24, 2025",PKR 21.5 Lakh,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2018-for-sale-in-gujrat-10005331
Toyota Prado TX L Package 2.7 2016,"Kashmir Road, Sialkot Punjab",2016,Petrol,Automatic,"63,000 km",Punjab,White,Imported,2700 cc,SUV,"May 06, 2025",PKR 2.4 crore,https://www.pakwheels.com/used-cars/toyota-prado-2016-for-sale-in-sialkot-9888238
Toyota Corolla X Assista Package 1.5 2003,"Bhara kahu, Islamabad Islamabad",2003,Petrol,Automatic,"50,000 km",Islamabad,White,Imported,1500 cc,Sedan,"Apr 27, 2025",PKR 28 Lakh,https://www.pakwheels.com/used-cars/toyota-corolla-2003-for-sale-in-islamabad-10021990
Hyundai Santro Club 2009,Renala khurd Punjab,2009,Petrol,Manual,"110,000 km",Sindh,Black,Imported,1000 cc,Hatchback,"Apr 25, 2025",PKR 10 Lakh,https://www.pakwheels.com/used-cars/hyundai-santro-2009-for-sale-in-renala-khurd-10010871
Suzuki Swift DLX 1.3 2015,"Cavalry Ground, Lahore Punjab",2015,Petrol,Manual,"108,000 km",Lahore,Silver,Local,1300 cc,Hatchback,"May 06, 2025",PKR 22.75 Lakh,https://www.pakwheels.com/used-cars/suzuki-swift-2015-for-sale-in-lahore-10048387
Suzuki Khyber 1989,"Saddar, Peshawar KPK",N/A,CNG,Manual,"65,000 km",Karachi,White,Local,1600 cc,N/A,"Apr 24, 2025",PKR 4.6 Lakh,https://www.pakwheels.com/used-cars/suzuki-khyber-1989-for-sale-in-peshawar-10009514
Daihatsu Cast Style G SA III 2022,"Faisal Town, Lahore Punjab",2022,Petrol,Automatic,"30,000 km",Un-Registered,Pink,Imported,660 cc,Hatchback,"May 04, 2025",PKR 35.9 Lakh,https://www.pakwheels.com/used-cars/daihatsu-cast-2022-for-sale-in-lahore-10031133
Audi A4 1.8 TFSI 2016,"DHA Defence, Lahore Punjab",2016,Petrol,Automatic,"105,000 km",Lahore,Ibis White,Imported,1800 cc,Sedan,"Apr 18, 2025",PKR 97 Lakh,https://www.pakwheels.com/used-cars/audi-a4-2016-for-sale-in-lahore-9982750
