,brand,model_name,province,location,model_year,fuel_type,transmission,km_driven,registered_in,color,assembly,engine_capacity,engine_power,body_type,last_updated,price,car_age
0,Suzuki,Suzuki Mehran,Punjab,Multan Punjab,2003.0,Petrol,Manual,170000.0,Lahore,white,Local,800 cc,800.0,Hatchback,2025-05-07,580000.0,22.0
1,Mitsubishi,Mitsubishi Lancer GLX Automatic 1.6,Punjab,Lahore Punjab,2006.0,Petrol,Automatic,119080.0,Islamabad,black,Imported,1600 cc,1600.0,Sedan,2025-04-29,2500000.0,19.0
2,Suzuki,Suzuki Wagon R Stingray X,Punjab,"Abbot Road, Lahore Punjab",2013.0,Petrol,Automatic,87000.0,Punjab,black,Imported,660 cc,660.0,Hatchback,2025-04-29,2650000.0,12.0
3,Toyota,Toyota Land Cruiser ZX,Punjab,Lahore Punjab,2019.0,Petrol,Automatic,30000.0,Un-Registered,white,Imported,4600 cc,4600.0,SUV,2025-04-28,46300000.0,6.0
4,Suzuki,Suzuki Alto VXL AGS,Punjab,"Rehmania Town, Faisalabad Punjab",2021.0,Petrol,Automatic,15800.0,Punjab,silver,Local,660 cc,660.0,Hatchback,2025-04-30,2770000.0,4.0
5,MG,MG ZS 1.5L,Punjab,"Johar Town, Lahore Punjab",2021.0,Petrol,Automatic,85556.0,Punjab,white,Imported,1490 cc,1490.0,Compact SUV,2025-05-07,4700000.0,4.0
6,Suzuki,Suzuki Wagon R VXL,Punjab,"G- 9, Islamabad Islamabad",2018.0,Petrol,Manual,78000.0,Islamabad,white,Local,1000 cc,1000.0,Hatchback,2025-05-04,2370000.0,7.0
7,Toyota,Toyota Fortuner GR-S,Punjab,"Sharqi Colony, Vehari Punjab",2023.0,Diesel,Automatic,30000.0,Punjab,white,Local,2800 cc,2800.0,SUV,2025-05-07,20800000.0,2.0
8,Suzuki,Suzuki Wagon R VXL,Punjab,"G.T Road, Gujrat Punjab",2018.0,Petrol,Manual,114000.0,Lahore,white,Local,1000 cc,1000.0,Hatchback,2025-04-24,2150000.0,7.0
9,Toyota,Toyota Prado TX L Package 2.7,Punjab,"Kashmir Road, Sialkot Punjab",2016.0,Petrol,Automatic,63000.0,Punjab,white,Imported,2700 cc,2700.0,SUV,2025-05-06,24000000.0,9.0
10,Toyota,Toyota Corolla X Assista Package 1.5,Punjab,"Bhara kahu, Islamabad Islamabad",2003.0,Petrol,Automatic,50000.0,Islamabad,white,Imported,1500 cc,1500.0,Sedan,2025-04-27,2800000.0,22.0
11,Hyundai,Hyundai Santro Club,Punjab,Renala khurd Punjab,2009.0,Petrol,Manual,110000.0,Sindh,black,Imported,1000 cc,1000.0,Hatchback,2025-04-25,1000000.0,16.0
12,Suzuki,Suzuki Swift DLX 1.3,Punjab,"Cavalry Ground, Lahore Punjab",2015.0,Petrol,Manual,108000.0,Lahore,silver,Local,1300 cc,1300.0,Hatchback,2025-05-06,2275000.0,10.0
13,Suzuki,Suzuki Khyber,KPK,"Saddar, Peshawar KPK",1989.0,CNG,Manual,65000.0,Karachi,white,Local,1600 cc,1600.0,Hatchback,2025-04-24,459999.99999999994,36.0
14,Daihatsu,Daihatsu Cast Style G SA III,Punjab,"Faisal Town, Lahore Punjab",2022.0,Petrol,Automatic,30000.0,Un-Registered,pink,Imported,660 cc,660.0,Hatchback,2025-05-04,3590000.0,3.0
15,Audi,Audi A4 1.8 TFSI,Punjab,"DHA Defence, Lahore Punjab",2016.0,Petrol,Automatic,105000.0,Lahore,white,Imported,1800 cc,1800.0,Sedan,2025-04-18,9700000.0,9.0
16,Daihatsu,Daihatsu Mira G SA III,Sindh,"Gulistan e Zafar, Karachi Sindh",2025.0,Petrol,Automatic,9000.0,Sindh,blue,Imported,660 cc,660.0,Hatchback,2025-04-26,3800000.0,0.0
17,Suzuki,Suzuki Mehran VXR Euro II,Punjab,"Green Town, Faisalabad Punjab",2016.0,Petrol,Manual,27000.0,Punjab,silver,Local,800 cc,800.0,Hatchback,2025-04-23,1250000.0,9.0
18,Mitsubishi,Mitsubishi Lancer GL,Punjab,"Bahria Town (Phase 7 - 8), Rawalpindi Punjab",2004.0,Petrol,Manual,300000.0,Lahore,silver,Local,1300 cc,1300.0,Sedan,2025-05-05,1300000.0,21.0
19,Toyota,Toyota Corolla GLi 1.3 VVTi,Punjab,"I-14, Islamabad Islamabad",2015.0,Petrol,Manual,1240.0,Islamabad,white,Local,1300 cc,1300.0,Sedan,2025-05-06,3650000.0,10.0
20,Haval,Haval H6 2.0T AWD,Punjab,"Queens Road, Lahore Punjab",2025.0,Petrol,Automatic,2.0,Un-Registered,white,Local,2000 cc,2000.0,SUV,2025-04-15,11100000.000000002,0.0
